district,avg_annual_HDD_10,HDD_10_cv,winter_share_HDD_10,pct_months_breach5_10,avg_annual_HDD_15,HDD_15_cv,winter_share_HDD_15,pct_months_breach5_15,avg_annual_HDD_18,HDD_18_cv,winter_share_HDD_18,pct_months_breach5_18,avg_annual_rainfall,rainfall_cv,spi1_drought_freq,spi1_wet_freq,spi3_drought_freq,monsoon_spi1_mean,rabi_spi1_mean,district_price_name,avg_modal_price,price_volatility,avg_arrival,price_cv,cluster,has_price_data
Kanpur Dehat,0.6320895516899999,321.8621746203252,100.0,0.5555555555555556,42.67664897471,58.36675900653231,99.94298208879738,14.86111111111111,183.39788335960165,23.30087687243925,98.95362903769875,25.13888888888889,673.7783950509001,35.58462602205206,10.0,16.25,16.852367688022284,-0.0010073352750646987,0.18722792040982875,Kanpur Dehat,2912.7180495356038,429.5033704944115,137.36120743034056,14.745792870782337,0,True
Kanpur Nagar,0.5706670099500001,315.6224978113024,100.0,0.5555555555555556,34.81558877444,70.03822447006254,99.95117132220052,11.666666666666666,163.68807140529165,25.056411203066226,99.26037348686675,24.583333333333332,718.9068508836168,35.67755321702554,9.444444444444445,15.694444444444445,16.434540389972145,0.0013582198962188337,0.16120300851541136,Kanpur,3024.514917582417,1182.11650097874,80.99620879120879,39.08449894251604,1,True
Kasganj,0.6348364543,307.9159973426904,100.0,0.6944444444444444,53.53509043799799,49.98702574842822,99.96419791858041,16.52777777777778,212.0318578466083,21.48304764867713,98.78099270424346,25.972222222222225,727.4132462699334,26.224234720789518,10.13888888888889,16.11111111111111,17.40947075208914,0.0075627722602668555,0.20754830614866898,Kasganj,2500.088888888889,216.96683750697414,26.476507936507936,8.67836493619235,0,True
Kaushambi,0.15215322286666666,395.69592558800457,100.0,0.0,26.155399629616667,73.24003262668306,99.94296904446284,10.416666666666668,139.19415207255415,26.532340380210872,99.17779588056729,23.88888888888889,884.8581420152833,30.93405005672602,8.61111111111111,16.38888888888889,15.598885793871867,0.0031015219171769007,0.2372156402488853,Kaushambi,2604.4278260869564,306.10963106235016,34.08070652173913,11.753431137397534,0,True
Kushinagar,0.39498367361666664,495.30767519384904,100.0,0.1388888888888889,26.933080355545,88.10114455861515,100.0,10.416666666666668,139.16379224429,27.450917714572366,99.65160344746937,23.47222222222222,1057.72818335145,35.64424878324367,10.277777777777777,16.25,16.71309192200557,-0.00044432131900199086,0.30072001823581374,Kushinagar,2180.2585,67.28023828999845,36.4945,3.085883545001589,0,True
Lakhimpur Kheri,1.00094579005,303.9352161178028,100.0,0.5555555555555556,74.15335444325001,43.116008069691446,99.82099787685948,19.02777777777778,268.821477257975,18.35004976247351,97.24102836776596,29.583333333333332,1133.4745342906235,24.115678465867386,12.083333333333334,15.416666666666668,14.484679665738161,0.001762169521252425,0.1897064589460696,Lakhimpur Kheri,3157.0512464629314,752.5015411800708,71.34515280135824,23.33522530473397,1,True
Lalitpur,0.0,,,0.0,18.20850745754834,63.199637398459366,99.87917747120154,9.027777777777777,117.64193415422501,32.27197683732509,98.46170309112658,23.194444444444446,941.8623442965667,28.004637532392763,4.861111111111112,14.444444444444443,16.016713091922004,-0.0038301638506962332,0.2510487640587969,Lalitpur,3624.634814814815,776.0711285815817,48.21777777777778,21.411015681071625,2,True
Lucknow,0.5706670099500001,315.6224978113024,100.0,0.5555555555555556,34.81558877444,70.03822447006254,99.95117132220052,11.666666666666666,163.68807140529165,25.056411203066226,99.26037348686675,24.583333333333332,903.8328364720502,31.67376576806532,10.694444444444445,15.0,15.459610027855152,0.0022199748420084356,0.19204117683545618,Lucknow,4349.452494004796,2103.4849380725527,95.09949640287769,48.36206260378651,1,True
Maharajganj,0.48156168235,423.1420516806837,100.0,0.1388888888888889,29.143463633858335,86.14745762377356,100.0,10.972222222222221,145.53423781047667,26.9376117832033,99.59400720322633,23.75,1247.7860127378,27.479605318585598,13.333333333333334,15.694444444444445,14.763231197771587,-0.0003315619210819539,0.248800833043374,Maharajganj,2521.2669930069933,433.9286189996747,33.40048951048951,17.21073651474527,0,True
Mahoba,0.15709770566666667,383.4430679239124,100.0,0.0,30.456050644006666,61.334827709543426,99.91982987676658,12.5,153.807171971205,25.845965101297207,98.87845829940255,24.444444444444443,790.2450389566068,32.54507153165004,6.805555555555555,16.25,16.71309192200557,-0.0001575360058907275,0.2762477222051744,Mahoba,2820.0820689655175,401.9106658612995,15.08706896551724,14.251736510942447,2,True
Mainpuri,0.6932724878,325.6996794436186,100.0,0.5555555555555556,48.162242517048334,56.879909404411364,99.95241777347633,15.694444444444445,200.76864070744668,22.817308133966847,98.80736726614967,25.694444444444443,681.6771218573748,30.861776987549188,6.527777777777779,16.11111111111111,16.295264623955433,0.0034890286421045413,0.22044836138785082,Mainpuri,3376.686724137931,129.56322013552872,82.42241379310344,3.836992611999155,2,True
Mathura,0.8103857273733331,300.6790602366377,100.0,0.5555555555555556,69.686178363195,41.41962506818339,99.8692950233374,20.13888888888889,244.20688133082666,20.400155090725026,98.00641248967453,27.77777777777778,595.3502029245083,27.66205014977639,7.916666666666666,16.52777777777778,16.852367688022284,0.003827668950777308,0.23163672675105457,Mathura,5486.209393939394,1999.0659658449542,30.003030303030304,36.4380179884005,3,True
Mau,0.39498367361666664,495.30767519384904,100.0,0.1388888888888889,26.933080355545,88.10114455861515,100.0,10.416666666666668,139.16379224429,27.450917714572366,99.65160344746937,23.47222222222222,900.3928943549668,24.388536707701995,10.555555555555555,17.5,16.573816155988858,0.0015953920586728768,0.269592758934903,Mau(Maunathbhanjan),3597.992618025751,1222.676513005634,14.557467811158798,33.9821851462421,4,True
Meerut,2.160281343907667,184.95888642350806,100.0,1.1111111111111112,132.70922713960334,30.109599015041844,98.75828170778722,23.194444444444446,376.39323302718003,16.708928932881314,93.81442566786207,36.388888888888886,899.49186245925,28.122391273191443,11.11111111111111,16.38888888888889,14.902506963788301,0.01420396983818552,0.19704710833814293,Meerut,3675.526,1847.1149678349748,172.00279999999998,50.25443889758839,4,True
Mirzapur,0.004561185833333333,774.5966692414833,100.0,0.0,18.935861426921665,74.79385394037817,100.0,9.305555555555555,122.02078969186,26.104994547993826,99.16723723156842,23.333333333333332,928.5857408503948,24.990255061961932,11.25,17.36111111111111,16.573816155988858,0.00028283996338318573,0.1997569054571841,Mirzapur,3255.6192173913046,1510.4272305352433,99.98086956521739,46.39446844602219,4,True
Muzaffarnagar,2.160281343907667,184.95888642350806,100.0,1.1111111111111112,132.70922713960334,30.109599015041844,98.75828170778722,23.194444444444446,376.39323302718003,16.708928932881314,93.81442566786207,36.388888888888886,868.9627828972083,30.35261849818602,10.416666666666668,14.722222222222223,15.181058495821729,0.009433568361887837,0.19386879924942424,Muzaffarnagar,3009.3220512820512,666.1391848562465,19.458717948717947,22.135855634741834,1,True
Pilibhit,1.2994481521333334,268.96897410511247,100.0,0.5555555555555556,89.72981183547999,38.06078907645326,99.72471820758646,21.38888888888889,300.0288034458516,17.151470983143284,96.52280131908476,31.38888888888889,1148.1448245861832,25.661443927378784,12.222222222222221,15.277777777777779,15.598885793871867,-0.001030143584446197,0.16043871536182305,Pillibhit,4630.914117647058,1806.2076697429438,53.19882352941177,39.003264233729034,1,True
Pratapgarh,0.15215322286666666,395.69592558800457,100.0,0.0,26.155399629616667,73.24003262668306,99.94296904446284,10.416666666666668,139.19415207255415,26.532340380210872,99.17779588056729,23.88888888888889,853.5838119980866,27.61142768558893,10.277777777777777,15.833333333333332,17.13091922005571,0.006431014658675031,0.209679201557908,Pratapgarh,2922.4814545454547,406.1892746289013,103.99545454545455,13.898780229969935,0,True
Rae Bareli,0.6479352162333335,363.34963770143787,100.0,0.4166666666666667,32.07421337038,77.94380846831753,99.96726341642298,11.11111111111111,153.61541100480497,27.84423179471839,99.27818918921359,24.444444444444443,768.6443214954415,38.96551018627922,7.916666666666666,15.833333333333332,15.041782729805014,0.003208419854706035,0.23747442789297518,Raebarelli,2836.1115133531157,447.33501910643497,60.370252225519295,15.77282899492036,2,True
Rampur,1.2994481521333334,268.96897410511247,100.0,0.5555555555555556,89.72981183547999,38.06078907645326,99.72471820758646,21.38888888888889,300.0288034458516,17.151470983143284,96.52280131908476,31.38888888888889,1025.1519489799216,27.035535739560355,13.055555555555557,15.0,16.295264623955433,0.0015024721119153502,0.17727319321072557,Rampur,5399.842678571428,2282.1653514657687,53.81910714285714,42.26355261278712,1,True
Saharanpur,2.160281343907667,184.95888642350806,100.0,1.1111111111111112,132.70922713960334,30.109599015041844,98.75828170778722,23.194444444444446,376.39323302718003,16.708928932881314,93.81442566786207,36.388888888888886,1116.9008728803383,24.0050027577938,13.61111111111111,16.25,16.852367688022284,0.00027192632166797754,0.07804784885835434,Saharanpur,3763.301401869159,1329.865352581634,37.84747663551402,35.33773170336862,1,True
Sambhal,0.6657371984999999,308.8587549015516,100.0,0.5555555555555556,70.98737464493666,41.820981873089934,99.87276989210864,19.72222222222222,257.2562625118063,19.165825134398297,97.72170541006597,28.749999999999996,865.69839107265,26.978063871790937,11.11111111111111,16.38888888888889,15.87743732590529,0.007683569313311489,0.1886616405533405,Sambhal,4394.683846153846,2104.024685997419,25.346615384615383,47.87658816091689,1,True
Sant Kabir Nagar,0.39498367361666664,495.30767519384904,100.0,0.1388888888888889,26.933080355545,88.10114455861515,100.0,10.416666666666668,139.16379224429,27.450917714572366,99.65160344746937,23.47222222222222,1278.7340963224501,27.584686629271303,7.361111111111112,16.11111111111111,16.991643454038996,4.241662164960284e-05,0.3347780066686996,Sant Kabir Nagar,2543.466785714286,243.18996772898743,81.36214285714286,9.561358107559956,0,True
