district,year,month,rainfall_monthly,SPI1,SPI3
Bulandshahr,1982,7,111.3983,-0.7488945999192669,-0.20254256996475842
Bulandshahr,1982,8,257.51746,0.6349180572328343,-0.1315368778143558
Bulandshahr,1982,9,31.897198,-0.8567701651858325,-0.5650428604038291
Bulandshahr,1982,10,5.8767214,0.05863102560367655,-0.033362223759786765
Bulandshahr,1982,11,1.4213512,0.4911038204803845,-0.9280019972107052
Bulandshahr,1982,12,2.7023833,0.26317180442163124,-0.21535069845969879
Bulandshahr,1983,1,27.591944,1.1378639083998212,0.8092453029032552
Bulandshahr,1983,2,3.8683496,-0.35411567821216083,0.3380593496449654
Bulandshahr,1983,3,7.2254033,0.1672527970009052,0.255097392044909
Bulandshahr,1983,4,17.298916,1.6807471744617581,0.1721571582000749
Bulandshahr,1983,5,18.449978,0.5262825134998261,0.6595036429767268
Bulandshahr,1983,6,52.461166,0.2507916132653392,0.4687195427156193
Bulandshahr,1983,7,258.61996,0.6319525806429844,0.546364927364579
Bulandshahr,1983,8,425.12326,1.6001993312044647,1.5930844224081264
Bulandshahr,1983,9,150.57593,0.6275092253219491,1.5946163192050755
Bulandshahr,1983,10,3.7654436,-0.08204297857640526,1.330081801396949
Bulandshahr,1983,11,0.0,0.0,0.4517551049146422
Bulandshahr,1983,12,20.800203,1.4388406366478845,0.3621535037804492
Bulandshahr,1984,1,13.925218,0.5210621494765816,0.912295000777488
Bulandshahr,1984,2,14.270489,0.3153812761223421,0.7209700248249256
Bulandshahr,1984,3,0.062477928,-0.8894830784634333,-0.08755941186930952
Bulandshahr,1984,4,1.6476996,0.09599289971353187,-0.40099194175377656
Bulandshahr,1984,5,0.9799243,-0.93697303614382,-1.7160828603205047
Bulandshahr,1984,6,86.052086,0.824198578085088,0.4762489745370849
Bulandshahr,1984,7,140.28174,-0.40700620111698166,-0.1890872036658749
Bulandshahr,1984,8,258.82327,0.6438210288359607,0.28616697440904776
Bulandshahr,1984,9,93.034805,0.08919762168181813,-0.01306770731431893
Bulandshahr,1984,10,0.33860987,-0.5346896703605144,0.2932497303845924
Bulandshahr,1984,11,0.0,0.0,-0.12166438509459876
Bulandshahr,1984,12,0.0,-0.38532046640756773,-1.2763160019991537
Bulandshahr,1985,1,9.216968,0.22175285282590892,-0.3163289691525451
Bulandshahr,1985,2,0.0,-0.9027347916438648,-0.7249428008941015
Bulandshahr,1985,3,3.8410351,-0.1332827653027561,-0.8038204097509307
Bulandshahr,1985,4,1.8960373,0.14977517665597528,-1.218425612796406
Bulandshahr,1985,5,1.9806982,-0.7081821255086895,-1.009025104130599
Bulandshahr,1985,6,30.200506,-0.288619235874306,-0.6913514117739005
Bulandshahr,1985,7,245.52304,0.5352023850593843,0.1961499706736116
Bulandshahr,1985,8,160.23062,-0.13601928190495277,-0.019963795817337208
Bulandshahr,1985,9,199.15594,0.9835464808911566,0.5807823371459642
Bulandshahr,1985,10,70.952034,1.5174953764701724,0.6889590317792782
Bulandshahr,1985,11,0.0,0.0,1.2173429334399883
Bulandshahr,1985,12,32.42554,1.8809315156503779,1.7919468043499704
Bulandshahr,1986,1,14.488161,0.552428241695796,1.2802269298888342
Bulandshahr,1986,2,17.479385,0.46091794744455095,1.0459696788170523
Bulandshahr,1986,3,5.5443535,0.03172025914244934,0.21992681656106292
Bulandshahr,1986,4,0.2710692,-0.3389947651326635,-0.03677270605495628
Bulandshahr,1986,5,39.416405,1.2248562978689366,0.7245698182699557
Bulandshahr,1986,6,153.58885,1.638538083733608,1.7508599316960218
Bulandshahr,1986,7,143.30815,-0.3741109102961627,0.5894370696367847
Bulandshahr,1986,8,172.37244,-0.025061956233341273,0.18967544265136277
Bulandshahr,1986,9,135.60437,0.5029047744028401,-0.25060971355869943
Bulandshahr,1986,10,8.891842,0.21290339794813504,0.09506425931314208
Bulandshahr,1986,11,0.02447291,0.040167912671752466,0.3712536388721632
Bulandshahr,1986,12,17.524994,1.291362052844775,0.4180218608304795
Bulandshahr,1987,1,10.79104,0.3304705904631947,0.6859786101846136
Bulandshahr,1987,2,23.276667,0.6897427925382787,0.7799294745717252
Bulandshahr,1987,3,5.049278,-0.012739384992061509,0.26784012214456604
Bulandshahr,1987,4,2.308171,0.23155650032111277,0.25597723021115715
Bulandshahr,1987,5,38.182922,1.1913189883396045,0.7332977100268498
Bulandshahr,1987,6,29.939842,-0.29638348709561885,0.16163470188118825
Bulandshahr,1987,7,160.25583,-0.19819822789206296,-0.18037897080560977
Bulandshahr,1987,8,80.97058,-1.0606133892374257,-1.2582657956496406
Bulandshahr,1987,9,45.35578,-0.576727446190256,-1.393403176870812
Bulandshahr,1987,10,1.281754,-0.3376988481141785,-1.3630442722062581
Bulandshahr,1987,11,0.0,0.0,-0.7817447778117809
Bulandshahr,1987,12,9.744915,0.8670555448891221,-0.16090821410771142
Bulandshahr,1988,1,0.034337036,-1.1476105968707888,-0.2720943953266411
Bulandshahr,1988,2,7.1499414,-0.09109559609558956,-0.2860448945866757
Bulandshahr,1988,3,43.768444,1.6055353769613676,0.5861169847346607
Bulandshahr,1988,4,2.7099798,0.3042316288281866,0.9449366465905585
Bulandshahr,1988,5,11.233949,0.16481135061128677,1.0510201721307555
Bulandshahr,1988,6,73.06621,0.6237538354161536,0.4493616154162366
Bulandshahr,1988,7,286.05505,0.8247136934484223,0.7974557091140055
Bulandshahr,1988,8,424.15796,1.595410598656045,1.804275794223376
Bulandshahr,1988,9,111.266495,0.2792950028370895,1.5430239102482632
Bulandshahr,1988,10,22.750992,0.6703107465669246,1.2456209937634728
Bulandshahr,1988,11,0.0,0.0,0.2810266049389732
Bulandshahr,1988,12,5.0772123,0.5143910680068053,0.45772241755699455
Bulandshahr,1989,1,27.561972,1.1367432061093798,0.8415012764817661
Bulandshahr,1989,2,0.058491744,-0.881203341076388,0.2947033891776589
Bulandshahr,1989,3,19.770311,0.8387867393830576,0.49600191206129285
Bulandshahr,1989,4,0.0,-0.5729675484954635,-0.19754396280124367
Bulandshahr,1989,5,0.2962809,-1.204814854006845,-0.18728828479049234
Bulandshahr,1989,6,22.977434,-0.5243467814646089,-1.0719002816377112
Bulandshahr,1989,7,87.44368,-1.0835667666555246,-1.390228316887046
Bulandshahr,1989,8,203.49074,0.23707914311095368,-0.8960719398976513
Bulandshahr,1989,9,162.10089,0.7180166573891225,-0.24014236075886602
Bulandshahr,1989,10,0.17222326,-0.600148087667544,0.3658393435816816
Bulandshahr,1989,11,1.2636628,0.4576712262994192,0.5241180229165853
Bulandshahr,1989,12,3.4747386,0.35426242431167126,-0.5614217068574665
Bulandshahr,1990,1,0.0,-1.1918161716813946,-0.7624514313416159
Bulandshahr,1990,2,90.59776,2.2597324828287615,1.5557273423927944
Bulandshahr,1990,3,1.4766824,-0.45924482862632154,1.4157229550575816
Bulandshahr,1990,4,0.0,-0.5729675484954635,1.7563648226659105
Bulandshahr,1990,5,31.868578,1.008393480784617,0.3535382653450419
Bulandshahr,1990,6,50.077217,0.20165316265429178,0.3656591383813493
Bulandshahr,1990,7,319.2475,1.042536981305002,0.9754101897650855
Bulandshahr,1990,8,96.489105,-0.8406443039478386,0.1684015480362219
Bulandshahr,1990,9,229.038,1.1754975171827278,0.7730665339289631
Bulandshahr,1990,10,0.0,-0.7835003753897741,0.14494930159029443
Bulandshahr,1990,11,11.828275,1.6667375237683584,1.0478325220742082
Bulandshahr,1990,12,6.288953,0.6184149759039257,0.1459265134860909
Bulandshahr,1991,1,2.3900259,-0.47757148032757785,0.35773984415456006
Bulandshahr,1991,2,12.965647,0.2510079147793033,-0.08366175944126623
Bulandshahr,1991,3,9.405067,0.31751663272344793,-0.221898862677145
Bulandshahr,1991,4,0.038019635,-0.5043150753291745,-0.07620717470360935
